Time	Value
33537180	4095
33547148	4095
33557148	4095
33567148	4095
33577148	4095
33587148	4095
33597148	4095
33607148	4095
33617148	4095
33627164	4095
33637148	4095
33647148	4095
33657148	4095
33667148	4095
33677148	4095
33687148	4095
33697148	4095
33707148	4095
33717148	4095
33727148	4095
33737156	4095
33747148	4095
33757148	4095
33767148	4095
33777148	4095
33787148	4095
33797148	4095
33807148	4095
33817148	4095
33827148	4095
33837156	4095
33847148	4095
33857148	4095
33867148	4095
33877148	4095
33887148	4095
33897148	4095
33907148	4095
33917148	4095
33927347	4095
33937156	4095
33947148	4095
33957148	4095
33967148	4095
33977148	4095
33987148	4095
33997148	4095
34007148	4095
34017148	4095
34027148	4095
34037156	4095
34047148	4095
34057148	4095
34067148	4095
34077148	4095
34087148	4095
34097148	4095
34107148	4095
34117148	4095
34127148	4095
34137910	4095
34147148	4095
34157148	4095
34167148	4095
34177148	4095
34187148	4095
34197148	4095
34207148	4095
34217148	4095
34227148	4095
34237148	4095
34247156	4095
34257148	4095
34267148	4095
34277148	4095
34287148	4095
34297148	4095
34307148	4095
34317148	4095
34327148	4095
34337148	4095
34347156	4095
34357148	4095
34367148	4095
34377148	4095
34387148	4095
34397148	4095
34407148	4095
34417148	4095
34427148	4095
34437148	4095
34447156	4095
34457148	4095
34467148	4095
34477148	4095
34487148	4095
34497148	4095
34507148	4095
34517148	4095
34527148	4095
34537148	4095
34547433	4095
34557148	4095
34567148	4095
34577148	4095
34587148	4095
34597148	4095
34607148	4095
34617148	4095
34627148	4095
34637148	4095
34647148	4095
34657156	4095
34667148	4095
34677148	4095
34687148	4095
34697148	4095
34707148	4095
34717148	4095
34727148	4095
34737148	4095
34747148	4095
34757156	4095
34767148	4095
34777148	4095
34787148	4095
34797148	4095
34807148	4095
34817148	4095
34827148	4095
34837148	4095
34847148	4095
34857156	4095
34867148	4095
34877148	4095
34887148	4095
34897148	4095
34907148	4095
34917148	4095
34927148	4095
34937148	4095
34947148	4095
34957156	4095
34967148	4095
34977148	4095
34987148	4095
34997148	4095
35007148	4095
35017148	4095
35027148	4095
35037148	4095
35047148	4095
35057148	4095
35067156	4095
35077148	4095
35087148	4095
35097148	4095
35107148	4095
35117148	4095
35127148	4095
35137148	4095
35147148	4095
35157148	4095
35167156	4095
35177148	4095
35187148	4095
35197148	4095
35207148	4095
35217148	4095
35227148	4095
35237148	4095
35247148	4095
35257148	4095
35267156	4095
35277148	4095
35287148	4095
35297148	4095
35307148	4095
35317148	4095
35327148	4095
35337148	4095
35347148	4095
35357148	4095
35367156	4095
35377148	4095
35387148	4095
35397148	4095
35407148	4095
35417148	4095
35427148	4095
