Time	Value
19918446	670
19928414	687
19938414	639
19948414	688
19958414	727
19968655	719
19978414	717
19988414	665
19998414	735
20008430	784
20018414	792
20028414	743
20038414	689
20048414	663
20058414	705
20068414	685
20078414	643
20088414	599
20098414	687
20108819	688
20118414	720
20128414	683
20138414	704
20148414	737
20158414	742
20168414	719
20178414	670
20188414	630
20198414	671
20208414	731
20218422	642
20228414	627
20238414	709
20248414	751
20258414	755
20268414	702
20278414	667
20288414	749
20298414	766
20308414	774
20318422	698
20328414	682
20338414	692
20348414	711
20358414	681
20368414	631
20378414	594
20388414	703
20398414	751
20408414	721
20418422	704
20428414	724
20438414	737
20448414	751
20458414	705
20468414	653
20478414	624
20488414	699
20498414	693
20508414	658
20518422	710
20528414	725
20538414	743
20548414	720
20558414	676
20568414	718
20578414	762
20588414	784
20598414	757
20608414	702
20618414	674
20628422	723
20638414	725
20648414	656
20658414	602
20668414	658
20678414	727
20688414	763
20698414	689
20708414	720
20718414	739
20728422	752
20738414	723
20748414	678
20758414	631
20768414	656
20778414	721
20788414	681
20798414	639
20808414	701
20818414	735
20828422	726
20838414	711
20848414	661
20858414	741
20868414	766
20878414	784
20888414	738
20898414	695
20908414	688
20918414	711
20928422	659
20938414	641
20948414	608
20958414	691
20968414	737
20978414	721
20988414	675
20998414	742
21008414	747
21018414	743
21028414	703
21038422	637
21048414	634
21058414	688
21068414	734
21078414	669
21088414	623
21098414	745
21108414	742
21118414	762
21128414	678
21138422	739
21148414	752
21158414	775
21168414	772
21178414	720
21188414	671
21198414	702
21208414	725
21218414	668
21228414	622
21238422	697
21248414	737
21258414	753
21268414	703
21278414	663
21288414	737
21298414	745
21308414	730
21318414	688
21328414	640
21338422	693
21348414	725
21358414	679
21368414	639
21378414	688
21388414	731
21398414	751
21408414	716
21418414	662
21428414	738
21438414	766
21448422	763
21458414	748
21468414	689
21478414	685
21488414	709
21498414	686
21508414	653
21518414	586
21528414	690
21538414	745
21548422	694
21558414	681
21568414	718
21578414	743
21588414	743
21598414	752
21608414	663
21618414	622
21628414	686
21639096	621
21648422	635
21658414	617
21668414	717
21678414	740
21688414	735
21698414	690
21708414	703
21718414	754
21728414	778
21738414	766
21748422	682
21758414	671
21768414	699
21778414	724
21788414	667
21798414	607
21808414	650
21818414	715
21828414	757
21838414	701
21848414	672
21858422	746
21868414	734
21878414	734
21888414	688
21898414	634
21908414	645
21918414	710
21928414	688
21938414	644
21948414	683
21958422	729
21968414	745
21978414	720
21988414	671
21998414	723
22008414	764
22018414	787
22028414	752
22038414	695
22048696	707
22058422	709
22068414	731
22078414	655
22088414	597
22098414	695
22108414	731
22118414	730
22128414	688
22138414	700
22148414	735
22158422	747
22168414	720
22178414	672
22188414	629
22198414	665
22208414	733
22218414	674
22228414	627
22238414	704
22248414	724
22259189	777
22268414	706
22278414	661
22288414	747
22298414	770
22308414	793
22318414	730
22328414	685
22338414	688
22348414	714
22358414	672
22368422	606
22378414	595
22388414	695
22398414	741
22408414	721
22418414	674
22428414	720
22438414	739
22448414	748
22458414	703
22468422	635
22478414	624
22488414	690
22498414	688
22508414	662
22518414	624
22528414	720
22538414	741
22548414	735
22558414	687
22568422	742
22578414	755
22588414	781
22598414	759
22608414	710
22618414	669
22628414	703
22638414	720
22648414	681
22658414	616
22668790	752
22678414	720
22688414	745
22698414	695
22708414	667
22718414	736
22728414	741
22738414	733
22748414	690
22758414	653
22768414	653
22778422	691
22788414	684
22798414	643
22808414	692
22818414	734
22828414	750
22838414	719
22848414	662
22858414	738
22868414	761
22878422	756
22888414	741
22898414	684
22908414	687
22918414	706
22928414	682
22938414	640
22948414	576
22958414	694
22968414	743
22978422	691
22988414	675
22998414	733
23008414	741
23018414	750
23028414	706
23038414	660
23048414	623
23058414	686
23068414	694
23078422	631
23088414	640
23098414	734
23108414	748
23118414	731
23128414	686
23138414	711
23148414	755
23158414	781
23168414	754
23178414	688
23188422	688
23198414	705
23208414	733
23218414	655
23228414	595
23238414	682
23248414	736
23258414	730
23268414	688
23278414	718
23288422	741
23298414	752
23308414	709
23318414	663
23328414	626
23338414	683
23348414	726
23358414	668
23368414	615
23378414	717
23388422	752
23398414	737
23408414	698
23418414	688
23428414	753
23438414	771
23448414	768
23458414	720
23468414	672
23478414	695
23488422	687
23498414	671
23508414	627
23518414	608
23528414	711
23538414	752
23548414	710
23558414	662
23568414	723
23578414	739
23588414	734
23598422	663
23608414	656
23618414	623
23628414	699
23638414	689
23648414	650
23658414	655
23668414	725
23678414	742
23688414	711
23698422	669
23708414	726
23718414	763
23728414	786
23738414	750
23748414	688
23758414	702
23768414	711
23778414	691
23788414	650
23798422	653
23808414	688
23818414	739
23828414	733
23838414	680
23848414	715
23858414	741
23868414	742
23878414	717
23888414	663
23898422	649
23908414	685
23918414	731
23928414	666
23938414	618
23948414	720
23958414	742
23968414	754
23978414	690
23988414	688
23998414	756
24008422	791
24018414	771
24028414	720
24038414	671
24048414	701
24058414	710
24068414	668
24078414	623
24088414	608
24098414	698
24108422	715
24118414	705
24128414	659
24138414	733
24148414	733
24158414	741
24168414	693
24178414	647
24188414	625
24199103	647
24208422	674
24218414	653
24228414	653
24238414	721
24248414	745
24258414	733
24268414	688
24278414	708
24288414	753
24298414	789
24308422	736
24318414	709
24328414	667
24338414	701
24348414	720
24358414	666
24368414	613
24378414	630
24388414	714
24398414	771
24408414	691
24418422	706
24428414	732
24438414	739
24448414	739
24458414	647
24468414	649
24478414	624
24488414	701
24498414	690
24508414	650
24518422	703
24528414	722
24538414	739
24548414	734
24558414	687
24568414	695
24578414	755
24588414	775
24598414	759
24608703	665
24618422	686
24628414	699
24638414	720
24648414	667
24658414	623
24668414	604
24678414	709
24688414	754
24698414	710
24708414	666
24718422	743
24728414	740
24738414	751
24748414	703
24758414	654
24768414	624
24778414	693
24788414	693
24798414	657
24808414	629
24819181	694
24828414	744
24838414	732
24848414	687
24858414	702
24868414	752
24878414	772
24888414	768
24898414	715
24908414	661
24918414	699
24928422	687
24938414	669
24948414	623
24958414	624
24968414	716
24978414	761
24988414	711
24998414	688
25008414	737
25018414	737
25028422	707
25038414	689
25048414	640
25058414	622
25068414	706
25078414	689
25088414	647
25098414	671
25108414	732
25118414	746
25128422	688
25138414	672
25148414	727
25158414	762
25168414	784
25178414	751
25188414	698
25198414	669
25208414	719
25218414	729
25228773	618
25238414	605
25248414	659
25258414	720
25268414	747
25278414	693
25288414	682
25298414	738
25308414	746
25318414	727
25328414	676
25338422	624
25348414	629
25358414	713
25368414	688
25378414	649
25388414	673
25398414	729
25408414	747
25418414	720
25428414	663
25438422	750
25448414	767
25458414	784
25468414	758
25478414	706
25488414	670
25498414	702
25508414	720
25518414	665
25528414	618
25538422	692
25548414	705
25558414	765
25568414	703
25578414	658
25588414	730
25598414	739
25608414	752
25618414	700
25628414	656
25638422	677
25648414	688
25658414	691
25668414	661
25678414	627
25688414	720
25698414	750
25708414	753
25718414	692
25728414	687
25738414	752
25748422	810
25758414	776
25768414	722
25778414	678
25788414	689
25798414	715
25808414	683
25818414	638
25828414	619
25838414	695
