Time	Value
99513021	1
99523001	1
99533001	1
99543001	1
99553001	1
99563001	1
99573001	1
99583001	1
99593001	1
99603013	1
99613001	1
99623001	1
99633001	1
99643001	1
99653001	1
99663001	1
99673001	1
99683001	1
99693001	1
99703287	1
99713001	1
99723001	1
99733001	1
99743001	1
99753001	1
99763001	1
99773001	1
99783001	1
99793001	1
99803001	1
99813005	1
99823001	1
99833001	1
99843001	1
99853001	1
99863001	1
99873001	1
99883001	1
99893001	1
99903001	1
99913005	1
99923001	1
99933001	1
99943001	1
99953001	1
99963001	1
99973001	1
99983001	1
99993001	1
100003001	1
100013005	1
100023001	1
100033001	1
100043001	1
100053001	1
100063001	1
100073001	1
100083001	1
100093001	1
100103001	0
100113005	0
100123001	0
100133001	0
100143001	0
100153001	0
100163001	0
100173001	0
100183001	0
100193001	0
100203001	0
100213001	0
100223005	0
100233001	0
100243001	0
100253001	0
100263001	0
100273001	0
100283001	0
100293001	0
100303001	0
100313001	0
100323005	0
100333001	0
100343001	0
100353001	0
100363001	0
100373001	0
100383001	0
100393001	0
100403001	0
100413001	0
100423005	0
100433001	0
100443001	0
100453001	0
100463001	0
100473001	0
100483001	0
100493001	0
100503001	0
100513001	0
100523005	0
100533001	0
100543001	0
100553001	0
100563001	0
100573001	0
100583001	0
100593001	0
100603001	0
100613001	0
100623001	0
100633005	0
100643001	0
100653001	0
100663001	0
100673001	0
100683001	0
100693001	0
100703001	1
100713001	1
100723001	1
100733005	1
100743001	1
100753001	1
100763001	1
100773001	1
100783001	1
100793001	1
100803001	1
100813001	1
100823001	1
100833005	1
100843001	1
100853001	1
100863001	1
100873001	1
100883001	1
100893001	1
100903001	1
100913001	1
100923001	1
100933005	1
100943001	1
100953001	1
100963001	1
100973001	1
100983001	1
100993001	1
101003001	1
101013001	1
101023001	1
101033001	1
101043005	1
101053001	1
101063001	1
101073001	1
101083001	1
101093001	1
101103001	1
101113001	1
101123001	1
101133001	1
101143005	1
101153001	1
101163001	1
101173001	1
101183001	1
101193001	1
101203001	1
101213001	1
101223001	1
101233644	1
101243005	1
101253001	1
101263001	1
101273001	1
101283001	1
101293001	1
101303001	1
101313001	1
101323001	1
101333001	1
101343005	1
101353001	1
101363001	1
101373001	1
101383001	1
101393001	1
101403001	1
101413001	1
101423001	1
101433001	1
101443001	1
101453005	1
101463001	1
101473001	1
101483001	1
101493001	1
101503001	1
101513001	1
101523001	1
101533001	1
101543001	1
101553005	1
101563001	1
101573001	1
101583001	1
101593001	1
101603001	1
101613001	1
101623001	1
101633001	1
101643238	1
101653005	1
101663001	1
101673001	1
101683001	1
101693001	1
101703001	1
101713001	1
101723001	1
101733001	1
101743001	1
101753005	1
101763001	1
101773001	1
101783001	1
101793001	1
101803001	1
101813001	1
101823001	1
101833001	1
101843001	1
101853696	1
101863001	1
101873001	1
101883001	1
101893001	1
101903001	1
101913001	1
101923001	1
101933001	1
101943001	1
101953001	1
101963005	1
101973001	1
101983001	1
101993001	1
102003001	1
102013001	1
102023001	1
102033001	1
102043001	1
102053001	1
102063005	1
102073001	1
102083001	1
102093001	1
102103001	1
102113001	1
102123001	1
102133001	1
102143001	1
102153001	1
102163005	1
102173001	1
102183001	1
102193001	1
102203001	0
102213001	0
102223001	0
102233001	0
102243001	0
102253001	0
102263271	0
102273001	0
102283001	0
102293001	0
102303001	0
102313001	0
102323001	0
102333001	0
102343001	0
102353001	0
102363001	0
102373005	0
102383001	0
102393001	0
102403001	0
102413001	0
102423001	0
102433001	0
102443001	0
102453001	0
102463001	0
102473005	0
102483001	0
102493001	0
102503001	0
102513001	0
102523001	0
102533001	0
102543001	0
102553001	0
102563001	0
102573005	0
102583001	0
102593001	0
102603001	0
102613001	0
102623001	0
102633001	0
102643001	0
102653001	0
102663001	0
102673005	0
102683001	0
102693001	0
102703001	0
102713001	0
102723001	0
102733001	0
102743001	0
102753001	0
102763001	0
102773001	0
102783005	0
102793001	0
102803001	0
102813001	0
102823001	0
102833001	0
102843001	0
102853001	0
102863001	0
102873001	0
102883005	0
102893001	0
102903001	0
102913001	0
102923001	0
102933001	0
102943001	0
102953001	0
102963001	0
102973001	0
102983005	0
102993001	0
103003001	0
103013001	0
103023001	0
103033001	0
103043001	0
103053001	0
103063001	0
103073001	0
103083005	0
103093001	0
103103001	0
103113001	0
103123001	0
103133001	0
103143001	0
103153001	0
103163001	0
103173001	0
103183001	0
103193005	0
103203001	0
103213001	0
103223001	0
103233001	0
103243001	0
103253001	0
103263001	0
103273001	0
103283001	0
103293005	0
103303001	0
103313001	0
103323001	0
103333001	0
103343001	0
103353001	0
103363001	0
103373001	0
103383001	0
103393005	0
103403001	0
103413001	0
103423001	0
103433001	0
103443001	0
103453001	0
103463001	0
103473001	0
103483001	0
103493005	0
103503001	0
103513001	0
103523001	0
103533001	0
103543001	0
103553001	0
103563001	0
103573001	0
103583001	0
103593001	0
103603005	0
103613001	0
103623001	0
103633001	0
103643001	0
103653001	0
103663001	0
103673001	0
103683001	0
103693001	0
103703005	0
103713001	0
103723001	0
103733001	0
103743001	0
103753001	0
103763001	0
103773001	0
103783001	0
103793636	0
103803005	0
103813001	0
103823001	0
103833001	0
103843001	0
103853001	0
103863001	0
103873001	0
103883001	0
103893001	0
103903005	0
103913001	0
103923001	0
103933001	0
103943001	0
103953001	0
103963001	0
103973001	0
103983001	0
103993001	0
104003001	0
104013339	0
104023013	0
104033001	0
104043001	0
104053001	0
104063001	0
104073001	0
104083001	0
104093001	0
104103005	0
104113001	0
104123001	0
104133001	0
104143001	0
104153001	0
104163001	0
104173001	0
104183001	0
104193001	0
104203269	0
104213005	0
104223001	0
104233001	0
104243001	0
104253001	0
104263001	0
104273001	0
104283001	0
104293001	0
104303001	0
104313001	0
104323001	0
104333001	0
104343001	0
104353001	0
104363001	0
104373001	0
104383001	0
104393001	0
104403001	0
104413633	0
104423001	0
104433001	0
104443001	0
104453001	0
104463001	0
104473001	0
104483001	0
104493001	0
104503001	0
104513001	0
104523001	0
104533001	0
104543001	0
104553001	0
104563001	0
104573001	0
104583001	0
104593001	0
104603001	0
104613001	0
104623005	0
104633001	0
104643001	0
104653001	0
104663001	0
104673001	0
104683001	0
104693001	0
104703001	0
104713001	0
104723001	0
104733001	0
104743001	0
104753001	0
104763001	0
104773001	0
104783001	0
104793001	0
104803001	0
104813001	0
104823223	0
104833001	0
104843001	0
104853001	0
104863001	0
104873001	0
104883001	0
104893001	0
104903001	0
104913001	0
104923001	0
104933001	0
104943001	0
104953001	0
104963001	0
104973001	0
104983001	0
104993001	0
105003001	0
105013001	0
105023001	0
105033005	0
105043001	0
105053001	0
105063001	0
105073001	0
105083001	0
105093001	0
105103001	0
105113001	0
105123001	0
105133001	0
105143001	0
105153001	0
105163001	0
105173001	0
105183001	0
105193001	0
105203001	0
105213001	0
105223001	0
105233005	0
105243001	0
105253001	0
105263001	0
105273001	0
105283001	0
105293001	0
105303001	0
105313001	0
105323001	0
105333001	0
105343001	0
105353001	0
105363001	0
105373001	0
105383001	0
105393001	0
105403001	0
105413001	0
105423001	0
105433001	0
105443005	0
105453001	0
105463001	0
105473001	0
105483001	0
105493001	0
105503001	0
105513001	0
105523001	0
105533001	0
105543001	0
105553001	0
105563001	0
105573001	0
105583001	0
105593001	0
105603001	0
105613001	0
105623001	0
105633001	0
105643005	0
105653001	0
105663001	0
105673001	0
105683001	0
105693001	0
105703001	0
105713001	0
105723001	0
105733001	0
105743001	0
105753001	0
105763001	0
105773001	0
105783001	0
105793001	0
105803001	0
105813001	0
105823001	0
105833001	0
105843001	0
105853005	0
105863001	0
105873001	0
105883001	0
105893001	0
105903001	0
105913001	0
105923001	0
105933001	0
105943001	0
105953001	0
105963001	0
105973001	0
105983001	0
105993001	0
106003001	0
106013001	0
106023001	0
106033001	0
106043001	0
106053005	0
106063001	0
106073001	0
106083001	0
106093001	0
106103001	0
106113001	0
106123001	0
106133001	0
106143001	0
106153001	0
106163001	0
106173001	0
106183001	0
106193001	0
106203001	0
106213001	0
106223001	0
106233001	0
106243001	0
106253001	0
106263005	0
106273001	0
106283001	0
106293001	0
106303001	0
106313001	0
106323001	0
106333001	0
106343001	0
106353648	0
106363001	0
106373001	0
106383001	0
106393001	0
106403001	0
106413001	0
106423001	0
106433001	0
106443001	0
106453001	0
106463005	0
106473001	0
106483001	0
106493001	0
106503001	0
106513001	0
106523001	0
106533001	0
106543001	0
106553001	0
106563001	0
106573001	0
106583001	0
106593001	0
106603001	0
106613001	0
106623001	0
106633001	0
106643001	0
106653001	0
106663001	0
106673005	0
106683001	0
106693001	0
106703001	0
106713001	0
106723001	0
106733001	0
106743001	0
106753001	0
106763249	0
106773001	0
106783001	0
106793001	0
106803001	0
106813001	0
106823001	0
106833001	0
106843001	0
106853001	0
106863001	0
106873005	0
106883001	0
106893001	0
106903001	0
106913001	0
106923001	0
106933001	0
106943001	0
106953001	0
106963001	0
106973655	0
106983001	0
106993001	0
107003001	0
107013001	0
107023001	0
107033001	0
107043001	0
107053001	0
107063001	0
107073001	0
107083005	0
107093001	0
107103001	0
107113001	0
107123001	0
107133001	0
107143001	0
107153001	0
107163001	0
107173001	0
107183001	0
107193001	0
107203001	0
107213001	0
107223001	0
107233001	0
107243001	0
107253001	0
107263001	0
107273001	0
107283005	0
107293001	0
107303001	0
107313001	0
107323001	0
107333001	0
107343001	0
107353001	0
107363001	0
107373001	0
107383235	0
107393001	0
107403001	0
107413001	0
107423001	0
107433001	0
107443001	0
107453001	0
107463001	0
107473001	0
107483001	0
107493005	0
107503001	0
107513001	0
107523001	0
107533001	0
107543001	0
107553001	0
107563001	0
107573001	0
107583001	0
107593009	0
107603001	0
107613001	0
107623001	0
107633001	0
107643001	0
107653001	0
107663001	0
107673001	0
107683001	0
107693005	0
107703001	0
107713001	0
107723001	0
107733001	0
107743001	0
107753001	0
107763001	0
107773001	0
107783001	0
107793005	0
107803001	0
107813001	0
107823001	0
107833001	0
107843001	0
107853001	0
107863001	0
107873001	0
107883001	0
107893001	0
107903001	0
107913001	0
107923001	0
107933001	0
107943001	0
107953001	0
107963001	0
107973001	0
107983001	0
107993001	0
108003005	0
108013001	0
108023001	0
108033001	0
108043001	0
108053001	0
108063001	0
108073001	0
108083001	0
108093001	0
108103001	0
108113001	0
108123001	0
108133001	0
108143001	0
108153001	0
108163001	0
108173001	0
108183001	0
108193001	0
108203005	0
108213001	0
108223001	0
108233001	0
108243001	0
108253001	0
108263001	0
108273001	0
108283001	0
108293001	0
108303001	0
108313001	0
108323001	0
108333001	0
108343001	0
108353001	0
108363001	0
108373001	0
108383001	0
108393001	0
108403001	0
108413005	0
108423001	0
108433001	0
108443001	0
108453001	0
108463001	0
108473001	0
108483001	0
108493001	0
108503001	0
108513001	0
108523001	0
108533001	0
108543001	0
108553001	0
108563001	0
108573001	0
108583001	0
108593001	0
108603001	0
108613005	0
108623001	0
108633001	0
108643001	0
108653001	0
108663001	0
108673001	0
108683001	0
108693001	0
108703001	0
108713001	0
108723001	0
108733001	0
108743001	0
108753001	0
108763001	0
108773001	0
108783001	0
108793001	0
108803001	0
108813001	0
108823005	0
108833001	0
108843001	0
108853001	0
108863001	0
108873001	0
108883001	0
108893001	0
108903001	0
108913653	0
108923001	0
108933001	0
108943001	0
108953001	0
108963001	0
108973001	0
108983001	0
108993001	0
109003001	0
109013001	0
109023005	0
109033001	0
109043001	0
109053001	0
109063001	0
109073001	0
109083001	0
109093001	0
109103001	0
109113001	0
109123001	0
109133001	0
109143001	0
109153001	0
109163001	0
109173001	0
109183001	0
109193001	0
109203001	0
109213001	0
109223001	0
109233005	0
109243001	0
109253001	0
109263001	0
109273001	0
109283001	0
109293001	0
109303001	0
109313001	0
109323258	0
109333001	0
109343001	0
109353001	0
109363001	0
109373001	0
109383001	0
109393001	0
109403001	0
109413001	0
109423001	0
109433005	0
109443001	0
109453001	0
109463001	0
109473001	0
109483001	0
109493001	0
109503001	0
