Time	Value
19618575	1
19628543	1
19638543	1
19648543	0
19658543	0
19668543	0
19678543	0
19688543	0
19698551	1
19708547	1
19718543	1
19728543	1
19738543	1
19748543	0
19758543	0
19768543	0
19778543	0
19788543	0
19798543	1
19808547	1
19818543	1
19828543	1
19838543	1
19848543	0
19858543	0
19868543	0
19878543	0
19888543	0
19898543	1
19908547	1
19918543	1
19928543	1
19938543	1
19948543	0
19958543	0
19968543	0
19978543	0
19988543	0
19998543	1
20008543	1
20018547	1
20028543	1
20038543	1
20048543	0
20058543	0
20068543	0
20078543	0
20088543	0
20098543	1
20108543	1
20118547	1
20128543	1
20138543	1
20148543	0
20158543	0
20168543	0
20178543	0
20188543	0
20198543	1
20208543	1
20218547	1
20228543	1
20238543	1
20248543	0
20258543	0
20268543	0
20278543	0
20288543	0
20298543	1
20308543	1
20318547	1
20328543	1
20338543	1
20348543	0
20358543	0
20368543	0
20378543	0
20388543	0
20398543	1
20408543	1
20418901	1
20428543	1
20438543	1
20448543	0
20458543	0
20468543	0
20478543	0
20488543	0
20498543	1
20508543	1
20518543	1
20528547	1
20538543	1
20548543	0
20558543	0
20568543	0
20578543	0
20588543	0
20598543	1
20608543	1
20618543	1
20628547	1
20638543	1
20648543	0
20658543	0
20668543	0
20678543	0
20688543	0
20698543	1
20708543	1
20718543	1
20728547	1
20738543	1
20748543	0
20758543	0
20768543	0
20778543	0
20788543	0
20798543	1
20808543	1
20818543	1
20828547	1
20838543	1
20848543	0
20858543	0
20868543	0
20878543	0
20888543	0
20898543	1
20908543	1
20918543	1
20928543	1
20938547	1
20948543	0
20958543	0
20968543	0
20978543	0
20988543	0
20998543	1
21008543	1
21018543	1
21028543	1
21038547	1
21048543	0
21058543	0
21068543	0
21078543	0
21088543	0
21098543	1
21108543	1
21118543	1
21128543	1
21138547	1
21148543	0
21158543	0
21168543	0
21178543	0
21188543	0
21198543	1
21208543	1
21218543	1
21228543	1
21238547	1
21248543	0
21258543	0
21268543	0
21278543	0
21288543	0
21298543	1
21308543	1
21318543	1
21328543	1
21338543	1
21348547	0
21358543	0
21368543	0
21378543	0
21388543	0
21398543	1
21408543	1
21418543	1
21428543	1
21438543	1
21448547	0
21458543	0
21468543	0
21478543	0
21488543	0
21498543	1
21508543	1
21518543	1
21528543	1
21539191	1
21548547	0
21558543	0
21568543	0
