Time	Value
760819118	1074
760829086	0
760839086	36
760849086	1359
760859086	2691
760869078	3342
760879086	3634
760889086	3617
760899282	3267
760909094	2559
760919086	1152
760929086	0
760939086	37
760949086	1360
760959086	2695
760969086	3337
760979086	3633
760989086	3616
760999086	3278
761009094	2559
761019086	1152
761029086	0
761039086	37
761049086	1360
761059086	2693
761069086	3335
761079086	3633
761089086	3615
761099086	3280
761110033	2485
761119086	1152
761129086	0
761139086	35
761149086	1361
761159086	2695
761169086	3339
761179086	3634
761189086	3618
761199086	3278
761209086	2559
761219094	1117
761229086	0
761239086	37
761249086	1360
761259086	2693
761269086	3334
761279086	3635
761289086	3614
761299086	3280
761309086	2559
761319094	1125
761329086	0
761339086	38
761349086	1359
761359086	2696
761369086	3333
761379086	3635
761389086	3619
761399086	3280
761409086	2592
761419094	1111
761429086	0
761439086	35
761449086	1360
761459086	2693
761469086	3340
761479086	3632
761489086	3618
761499086	3279
761509086	2595
761519570	1042
761529086	0
761539086	37
761549086	1360
761559086	2692
761569086	3341
761579086	3638
761589086	3619
761599086	3280
761609086	2591
761619086	1138
761629094	0
761639086	37
761649086	1360
761659086	2693
761669086	3341
761679086	3634
761689086	3619
761699086	3280
761709086	2592
761719086	1141
761729094	0
761739086	37
761749086	1360
761759086	2691
761769086	3338
761779086	3634
761789086	3615
761799086	3280
761809086	2591
761819086	1152
761829094	0
761839086	36
761849086	1360
761859086	2695
761869086	3341
761879086	3635
761889086	3616
761899086	3280
761909086	2590
761919086	1151
761929179	0
761939086	37
761949086	1360
761959086	2695
761969086	3341
761979086	3632
761989086	3619
761999086	3280
762009086	2591
762019086	1149
762029086	0
762039094	64
762049086	1360
762059086	2694
762069086	3343
762079086	3639
762089086	3620
762099086	3279
762109086	2590
762119086	1152
762129086	0
762139094	65
762149086	1361
762159086	2697
762169086	3339
762179086	3635
762189086	3619
762199086	3280
762209086	2590
762219086	1151
762229086	0
762239094	53
762249086	1361
762259086	2695
762269086	3339
762279086	3635
762289086	3616
762299086	3280
762309086	2592
762319086	1150
762329086	0
762339094	51
762349086	1362
762359086	2694
762369086	3339
762379086	3637
762389086	3616
762399086	3280
762409086	2591
762419086	1150
762429086	0
762439086	41
762449094	1395
762459086	2698
762469086	3334
762479086	3634
762489086	3615
762499086	3280
762509086	2592
762519086	1149
762529086	0
762539086	38
762549094	1395
762559086	2695
762569086	3342
762579086	3635
762589086	3618
762599086	3281
762609086	2593
762619086	1150
762629086	0
762639776	93
762649094	1401
762659086	2699
762669086	3340
762679086	3635
762689086	3614
762699086	3279
762709086	2591
762719086	1151
762729086	0
762739086	39
762749094	1399
762759086	2689
762769086	3338
762779086	3633
762789086	3615
762799086	3280
762809086	2591
762819086	1149
762829086	0
762839086	37
762849086	1361
762859094	2710
762869086	3340
762879086	3637
762889086	3615
762899086	3278
762909086	2591
762919086	1149
762929086	0
762939086	38
762949086	1367
762959094	2715
762969086	3343
762979086	3634
762989086	3613
762999086	3279
763009086	2588
763019086	1150
763029086	0
763039086	37
763049375	1418
763059094	2705
763069086	3338
763079086	3634
763089086	3611
763099086	3280
763109086	2592
763119086	1149
763129086	0
763139086	39
763149086	1361
763159094	2718
763169086	3341
763179086	3633
763189086	3617
763199086	3279
763209086	2591
763219086	1147
763229086	0
763239086	38
763249086	1360
763259086	2692
763269094	3344
763279086	3633
763289086	3605
763299086	3280
763309086	2589
763319086	1149
763329086	0
763339086	36
763349086	1362
763359086	2693
763369094	3347
763379086	3639
763389086	3629
763399086	3278
763409086	2559
763419086	1146
763429086	0
763439086	35
763449086	1362
763459086	2690
763469094	3346
763479086	3660
763489086	3547
763499086	3280
763509086	2559
763519086	1171
763529086	0
763539086	46
763549086	1360
763559086	2701
763569094	3349
763579086	3635
763589086	3614
763599086	3275
763609086	2590
763619086	1142
763629086	0
763639086	54
763649086	1363
763659086	2695
763669086	3393
763679090	3634
763689086	3616
763699086	3287
763709086	2559
763719086	1149
763729086	0
763739086	39
763749086	1358
